Variable,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección ,Descripción del indicador ,Observaciones
05-ml-012,Tasa de desempleo Jefes de hogar Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,Mide el número de Jefes de Hogar desocupados sobre la Población Económicamente Activa,,.
05-ml-003,Tasa de informalidad,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta,"Para el DANE, las características que permiten precisar la definición de empleo informal  son:  
1. Los empleados particulares y los obreros que laboran en establecimientos, negocios o empresas que ocupen hasta cinco personas en todas sus agencias y sucursales, incluyendo al patrono y/o socio; 2. Los trabajadores familiares sin remuneración; 3. Los trabajadores sin remuneración en empresas o negocios de otros hogares; 4. Los empleados domésticos 5. Los jornaleros o peones;  6. Los trabajadores por cuenta propia que laboran en establecimientos hasta cinco personas, excepto los independientes profesionales; 7. Los patrones o empleadores en empresas de cinco trabajadores o menos;  8. Se excluyen los obreros o empleados del gobierno.",.
05-ml-014,Tasa de Informalidad Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta Multipropósito ,"Para el DANE, las características que permiten precisar la definición de empleo informal  son:  
1. Los empleados particulares y los obreros que laboran en establecimientos, negocios o empresas que ocupen hasta cinco personas en todas sus agencias y sucursales, incluyendo al patrono y/o socio; 2. Los trabajadores familiares sin remuneración; 3. Los trabajadores sin remuneración en empresas o negocios de otros hogares; 4. Los empleados domésticos 5. Los jornaleros o peones;  6. Los trabajadores por cuenta propia que laboran en establecimientos hasta cinco personas, excepto los independientes profesionales; 7. Los patrones o empleadores en empresas de cinco trabajadores o menos;  8. Se excluyen los obreros o empleados del gobierno.",.
05-ml-015,Tasa de cobertura en pensiones Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,6. Seguridad y convivencia,DANE,encuesta Multipropósito ,Mide el número de personas que aportan a pensiones sobre la  Población Económicamente Activa,.
06-sc-013,Número de adolescentes que vinculados al Sistema de Responsabilidad Penal para Adolescentes ,ICBF,Número,Personas,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Número de Adolescentes que ingresan al SRPA,.
06-sc-014,Número de  hurtos a bancos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Mide el número de casos reportados en el año,.
06-sc-015,Tasa de hurto a bancos,Policía Metropolitana,Tasa,Por Cada 100.000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Estima la proporcion de hurto a bancos en un periodo determinado por 100.000 habitantes. ,.
06-sc-016,Número de hurto a establecimientos de comercio,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Estima la proporcion de hurto a bancos en un periodo determinado por 100.000 habitantes. ,.
06-sc-017,Tasa de hurto a establecimientos de comercio,Policía Metropolitana,Tasa,Por Cada 100.000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a establecimientos de comercio en un periodo determinado por 100.000 habitantes. ,.
06-sc-018,Número de hurtos a motos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Expresa el número de hurto a motocicletas en un periodo determinado. ,.
06-sc-012,Tasa de hurto de motocicletas,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a motocicletas en un periodo determinado por 100.000 habitantes. ,.
06-sc-019,Número de hurtos a personas,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Expresa el número de hurto a personas en un periodo determinado. ,.
06-sc-020,Tasa de hurto a personas,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a personas en un periodo determinado por 100.000 habitantes. ,.
06-sc-021,Número de hurtos a residencias,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Expresa el número de hurto a residencias en un periodo determinado. ,.
06-sc-022,Tasa de hurto a residencias,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a residencias en un periodo determinado por 100.000 habitantes. ,.
06-sc-023,Número de hurtos a vehículos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá ,Registro Administrativo,Expresa el número de hurto a vehiculos en un periodo determinado. ,.
06-sc-011,Tasa de hurto a automóviles,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a vehiculos en un periodo determinado por 100.000 habitantes. ,.
06-sc-024,Número de Secuestros,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Mide el número de casos de secuestro reportados en el año,.
06-sc-025,Número de lesiones Inter personales MUJERES,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito. Por denuncia",.
06-sc-026,Número de lesiones Inter personales HOMBRES,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito. Por denuncia",.
06-sc-027,Número de lesiones personales,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de alteración orgánica, funcional o psíquica, producida por la acción de un agente vulnerante ya sea físico (mecánico, térmico), químico, biológico o psicoló-
gico, utilizado por un tercero, sin que se produzca la muerte. ",.
06-sc-006,Tasa de lesiones personales,Instituto de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es la proporción de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito.",.
06-sc-005,Tasa de Homicidios por cada 100 mil habitantes,Instituto Nacional de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporción de homicidios en relación al total de población por cada 100.000 habitantes,.
06-sc-028,Numero de homicidios,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Medicina legal,Registro Administrativo,Mide el número total de homicidios. ,.
06-sc-029,Tasa de muertes violentas por 100.000 habitantes,Instituto Nacional de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno ,Registro Administrativo,Mide el número total de personas muertas de manera violenta sobre el total de la  población por cada 100.000 habitantes,.
06-sc-030,Tasa de suicidios por 100.000 habitantes,Instituto Nacional de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Número de suicidios / total de población * 100.000,.
06-sc-031,Número de suicidios,CEACS,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Número de suicidios / total de población * 100.000,.
06-sc-032,Victimización  directa,CCB,Porcentaje,Porción,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,CCB,Encuesta,Porcentaje de personas que manifiestan haber sido victimas de alguns delito. ,.
06-sc-033,Denuncia,CCB,Porcentaje,Porción,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,CCB,Encuesta,Porcentaje de personas que manifiestan haber sido victimas de algun delito y que efectivamente lo denunciaron,.
06-sc-034,Percepción de inseguridad,CCB,Porcentaje,Porción,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,CCB,Encuesta,Porcentaje de personas que se sienten inseguros en Bogotá,.
06-sc-035,Tasa de habitantes de calle por 10.000 habitantes,"Secretaría Distrital de Integración Social (SDIS), Instituto Distrital para la Protección de la  Niñez (IDIPRON). Censos de habitante de calle. DANE – SDP.",Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,"Secretaría Distrital de Integración Social (SDIS), Instituto Distrital para la Protección de la  Niñez (IDIPRON). Censos de habitante de calle. DANE – SDP.",Censo,"Número de habitantes de calle según el censo específico que se realizar sobre el tema, en relación con el número de habitantes de la ciudad/ número habitantes ciudad * 10.000.",.
07-v-012,Porcentaje de déficit de vivienda (Estimada),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta,Es el conjunto total de hogares con deficit (cualitativo y/o cuantitativo) de vivienda. ,.
07-v-013,Porcentaje de déficit cuantitativo de vivienda,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta,"Estima la cantidad de viviendas que la sociedad debe construir o adicionar al stock para que exista una relación uno a uno entre las viviendas adecuadas y los hogares que necesitan alojamiento. Las variables que componen el déficit cuantitativo son estructura, cohabitación y hacinamiento crítico.
",.
07-v-014,Porcentaje de déficit cualitativo de vivienda,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta,"Se relaciona con los atributos de la vivienda, esto es, que las viviendas existentes no cumplen con estándares mínimos de calidad y por ende no ofrecen unas condiciones de vida adecuadas a sus habitantes. Los componentes son el hacinamiento mitigable, la estructura y la carencia de uno o más servicios públicos.",.
07-v-015,Stock de vivienda ,DANE,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,"El stock de vivienda determina el número de viviendas existentes en la ciudad. En tal sentido, el Censo General 2005 determinó para Bogotá un stock de 1.755.195 viviendas. El DANE y la SDP proyectaron el stock de vivienda para la ciudad y por localidad desde entonces",.
07-v-016,Producción de viviendas por cada 1000 habitantes,DANE,Tasa,Por cada 1000 hanitantes,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Censo,Mide la producción de viviendas en Bogotá por cada 1000 habitantes,.
07-v-017,Tenencia de vivienda propia totalmente pagada,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta ,Mide los hogares que han pagado totalmente su vivienda sobre el total de hogares,.
07-v-018,Tenencia de vivienda propia totalmente pagada (Multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,Mide los hogares que han pagado totalmente su vivienda sobre el total de hogares,.
07-v-019,Tenencia de vivienda propia en proceso de pago,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta ,"Mide los hogares que han adquirido vivienda, pero se encuentran en proceso de pago de esta sobre el total de hogares",.
07-v-020,Tenencia de vivienda propia en proceso de pago (Multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,"Mide los hogares que han adquirido vivienda, pero se encuentran en proceso de pago de esta sobre el total de hogares",.
07-v-021,Tenencia de vivienda en arriendo o subarriendo ,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría Distrital de Planeación,Encuesta ,Mide los hogares que han pagado totalmente su vivienda sobre el total de hogares,.
07-v-022,Tenencia de vivienda en arriendo o subarriendo (Multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,Mide los hogares que han pagado totalmente su vivienda sobre el total de hogares,.
07-v-024,Número de vivienda con Déficit cuantitativo,DANE,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,Mide el número de viviendas en déficit cuantitativo,.
07-v-025,Número de hogares con Déficit cualitativo de vivienda,DANE,Número,Hogares,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,Mide el número de hogares en déficit cualitativo de vivienda,.
07-v-026,Hacinamiento crítico no mitigable (hogares),Metrovivienda,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Planeación,Encuesta ,"Mide el número de hogares en los cuales habitan cuatro o
más personas por cuarto sobre el total de hogares",.
07-v-027,Número de viviendas VIP habilitadas por Gestión Pública VIP,Metrovivienda,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-028,Número de viviendas VIP habilitadas por Gestión Pública VIP-VIS Privados,Metrovivienda,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-029,Unidades construidas  VIS - VIP en Sitio Propio Cajas de Compensación Familiar y EAB-ESP 2011-2014,Metrovivienda,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-030,Subsidios Distritales de Vivienda Generados para vivienda o mejoramiento,Metrovivienda,Número,Subsidios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,Subsidios Distritales de Vivienda en Especie o a la oferta generados  para vivienda y mejoramiento ,.
07-v-031,Número de hogares vinculados o con vivienda,SDHT,Número,Hogares,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-032,"Viviendas gestionadas por localidad (VIP, VIS, NO VIS)",SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-033,Viviendas VIP en construcción,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-034,Viviendas VIS en construcción,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-035,Viviendas VIP en obras de urbanismo,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-036,Viviendas VIS en obras de urbanismo,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-037,Viviendas VIP en tramites de licenciamiento,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-038,Viviendas VIS en tramites de licenciamiento,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-039,Viviendas NO VIS en tramites de licenciamiento,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-040,Viviendas VIP y VIS habilitadas,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-041,Viviendas VIP en estudios y diseños,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-042,Viviendas VIS en estudios y diseños,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-043,Viviendas NO VIS en estudios y diseños,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-044,Tiempo de los trámites de la cadena de urbanismo y construcción,SDHT,Número,Días,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-045,Número de viviendas iniciadas VIP,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-046,Número de viviendas iniciadas VIS,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-047,Número de viviendas iniciadas NO VIS,SDHT,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-048,Viviendas terminadas por localidad (VIS y NO VIS),DANE,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,,.
07-v-049,Área (m2) de las viviendas VIS terminadas ,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Encuesta ,Número de M2 construidos en vivienda nueva (según el Censo de Edificaciones - DANE). ,.
07-v-050,Área (m2) de las viviendas NO VIS terminadas ,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Encuesta ,,.
07-v-051,Número de  viviendas ubicadas en zonas de alto riesgo,Instituto Distrital de Gestión de Riesgo y Cambio Climático - IDIGER ,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,DEPAE y FOPAE,Registro Administrativo,Mide el número total de viviendas ubicadas en zonas de alto riesgo,.
07-v-052,Número de familias recomendadas para ser reasentadas por parte de la Caja de la Vivienda Popular,Caja de Vivienda Popular,Número,Familias,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Caja de Vivienda Popular,Registro Administrativo,"Mide el número de hogares que habitan viviendas ubicadas en zonas de alto riesgo. Se incluye el número de hogares que han sido recomendados por IDIGER (antiguo FOPAE), y los que han sido gestionados a través de recursos judiciales (acciones populares, tutelas y otros).",.
07-v-053,Número de hogares en asentamientos de viviendas de origen informal,Caja de Vivienda Popular,Número,Hogares,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Caja de Vivienda Popular,Registro Administrativo,Mide el número de hogares en asentamientos de vivienda de origen informal,.
07-v-054,Ocupaciones ilegales identificadas ,Subdirección de Programas y Proyectos - SDHT,Número,Casos,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,"La Secretaría Distrital del Hábitat, a través de la Subsecretaría de Inspección, Vigilancia y Control de Vivienda, hace monitoreo a la ocupación ilegal del territorio mediante el seguimiento a las áreas susceptibles de desarrollo ilegal, determinadas por la SDHT. ",.
07-v-055,Titulación de la vivienda,Secretaría Distrital del Hábitat,Número,Casos,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,Mide el número de predios titulados,.
07-v-056,Número de viviendas habilitadas metrovivienda Privados,Secretaría de Hábitat,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Secretaría de Hábitat,Expresa el número de viviendas habilitadas metrovivienda Privados,.
07-v-057,Número de hectáreas de origen ilegal legalizadas (trámite resuelto positivamente),Secretaría Distrital del Hábitat,Número,Hectáreas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,Es el área medida en hectáreas de los asentamientos humanos destinados a vivienda legalizados urbanísticamente de acuerdo con lo establecido en el decreto 510 del 14 de diciembre de 2010.,.
07-v-058,Número de familias que vivían en zonas de alto riesgo no mitigable o en rondas de cuerpos de agua que fueron reasentadas y se les entregó vivienda de reposición,Secretaría Distrital del Hábitat,Número,Familias,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,"Corresponde al número de hogares reasentados de zonas de alto riesgo no mitigable a los cuales se les protegió la vida, responde a los avances de los programas misionales de la Caja de Vivienda Popular.  ",.
07-v-059,"Número de viviendas de estratos 1 y 2 que tuvieron mejoras en sus condiciones de habitabilidad (Estructural, habitabilidad y rural).",Secretaría Distrital del Hábitat,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,"Corresponde al número de viviendas de estratos 1 y 2 que tuvieron mejoras en sus condiciones físicas de habitabilidad (Estructural, habitabilidad y rural),responde a los avances de los programas misionales de la Caja de Vivienda Popular.  ",.
07-v-060,Predios urbanos (censo inmobiliario),Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios urbanos censados en la ciudad. ,.
07-v-061,Número de predios  base catastral  (rural y urbano),Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral  (rural y urbano) en la ciudad. ,.
07-v-062,Número de predios urbanos base catastral,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios urbanos de la  base catastral en la ciudad. ,.
07-v-063,Número de predios  rurales base catastral.,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios rurales de la  base catastral en la ciudad. ,.
07-v-064,Predios clasificados como propiedad horizontal ,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral en la ciudad clasificados como propiedad horizontal. ,.
07-v-065,Predios clasificados como NO propiedad horizontal ,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral en la ciudad clasificados como NO propiedad horizontal. ,.
07-v-066,Area licenciada destino vivienda,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al area licenciada con destino vivienda. ,.
07-v-067,Area licenciada destino industria,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al area licenciada con destino industria. ,.
07-v-068,Area licenciada destino comercio,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al número total de unidades terminadas para vivienda,.
07-v-069,Area licenciada otros destinos,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,"Oficina, Bodega, Hotel, Educación, Hospital, Admón. Pública, Religioso, Social, Otro no Residencial ",.
07-v-070,Número de viviendas nuevas,DANE,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Registro administrativo,Corresponde al número de viviendas nuevas terminadas y habilitadas,.
07-v-012,Número de luminarias que prestan el Servicio de Alumbrado Públic,UAESP,Número,Luminarias,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Número de luminarias que prestan el Servicio de Alumbrado Público, las cuales corresponde a una cobertura del 100% ",.
07-v-013,Porcentaje de acceso a telefonia fija,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Numero de hogares con acceso al servicio de telefonia fija,.
08-ma-009,Porcentaje de MPA (material potencialmente aprovechable),UAESP,Porcentaje,Porción,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de material potencialmente reciclable sobre el total de residuos solidos ,.
08-ma-010,Número de toneladas anuales de residuos sólidos reciclados,UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de tonedalas anuales reportadas por localidad que fueron pesadas por los recicladores de oficio registrados en el RURO,.
08-ma-011,Porcentaje de toneladas anuales de residuos sólidos reciclados,UAESP,Porcentaje,Porción,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de tonedalas anuales reportadas por localidad que fueron pesadas por los recicladores de oficio registrados en el RURO,.
08-ma-04,Generación de residuos sólidos urbanos (Kg diarios por habitante),UAESP,Tasa,Kilogramos por habitante,8. Medio ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Corresponde al total de kg per cápita de residuos sólidos convencionales que se dispusieron en el relleno sanitario Doña Juana, sin incluir aquellos dispuestos por los municipios con los cuales se tiene convenio.",.
08-ma-012,Residuos sólidos dispuestos en rellenos sanitarios (Total toneladas),UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Corresponde al total de residuos dispuestos en el relleno Doña Juana: residuos ordinarios (Bogotá, Caqueza, ubaque, Choachi, Gutierrez, Fosca, Chipaque, Une) y residuos hospitalarios tratados.  ",.
08-ma-013,Material recuperado en el Centro de Acopio Alquería. (Ton/año),UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al total de material recuperado en el Centro de Acopio Alquería. (Ton/año),.
07-v-003,Tasa de cobertura del servicio de Acueducto,EAAB,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide los hogares con acceso al servicio legal de acueducto sobre el total hogares,.
07-v-006,Tasa de cobertura alcantarillado sanitario,EAAB,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide los hogares con acceso al servicio legal de alcantarillado sobre el total hogares,.
