Variable,ID,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo..Red.Cómo.Vamos.,Anillo,Capitulo..Bogotá.,Entidad.responsable,Metodo.de.recolección,Descripción.del.indicador,Observaciones,ctype
07-v-059,v7_v_059,"Número de viviendas de estratos 1 y 2 que tuvieron mejoras en sus condiciones de habitabilidad (Estructural, habitabilidad y rural).",Secretaría Distrital del Hábitat,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Hábitat,Registro Administrativo,"Corresponde al número de viviendas de estratos 1 y 2 que tuvieron mejoras en sus condiciones físicas de habitabilidad (Estructural, habitabilidad y rural),responde a los avances de los programas misionales de la Caja de Vivienda Popular.",.,Nu
07-v-060,v7_v_060,Predios urbanos (censo inmobiliario),Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios urbanos censados en la ciudad.,.,Nu
07-v-061,v7_v_061,Número de predios  base catastral  (rural y urbano),Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral  (rural y urbano) en la ciudad.,.,Nu
07-v-062,v7_v_062,Número de predios urbanos base catastral,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios urbanos de la  base catastral en la ciudad.,.,Nu
07-v-063,v7_v_063,Número de predios  rurales base catastral.,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios rurales de la  base catastral en la ciudad.,.,Nu
07-v-064,v7_v_064,Predios clasificados como propiedad horizontal,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral en la ciudad clasificados como propiedad horizontal.,.,Nu
07-v-065,v7_v_065,Predios clasificados como NO propiedad horizontal,Censo Inmobiliario,Número,Predios,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Catastro,Registro Administrativo,Corresponde al total de predios de la  base catastral en la ciudad clasificados como NO propiedad horizontal.,.,Nu
07-v-066,v7_v_066,Area licenciada destino vivienda,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al area licenciada con destino vivienda.,.,Nu
07-v-067,v7_v_067,Area licenciada destino industria,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al area licenciada con destino industria.,.,Nu
07-v-068,v7_v_068,Area licenciada destino comercio,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,Corresponde al número total de unidades terminadas para vivienda,.,Nu
07-v-069,v7_v_069,Area licenciada otros destinos,DANE,Número,Metros Cuadrados,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Encuesta,"Oficina, Bodega, Hotel, Educación, Hospital, Admón. Pública, Religioso, Social, Otro no Residencial",.,Nu
07-v-070,v7_v_070,Número de viviendas nuevas,DANE,Número,Viviendas,7. Vivienda y Servicios públicos,Hábitat Urbano,7. Hábitat,Secretaría de Habitat,Registro administrativo,Corresponde al número de viviendas nuevas terminadas y habilitadas,.,Nu
07-v-012,v7_v_012_1,Número de luminarias que prestan el Servicio de Alumbrado Públic,UAESP,Número,Luminarias,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Número de luminarias que prestan el Servicio de Alumbrado Público, las cuales corresponde a una cobertura del 100%",.,Nu
07-v-013,v7_v_013_1,Porcentaje de acceso a telefonia fija,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Numero de hogares con acceso al servicio de telefonia fija,.,Nu
08-ma-009,v8_ma_009,Porcentaje de MPA (material potencialmente aprovechable),UAESP,Porcentaje,Porción,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de material potencialmente reciclable sobre el total de residuos solidos,.,Nu
08-ma-010,v8_ma_010,Número de toneladas anuales de residuos sólidos reciclados,UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de tonedalas anuales reportadas por localidad que fueron pesadas por los recicladores de oficio registrados en el RURO,.,Nu
08-ma-011,v8_ma_011,Porcentaje de toneladas anuales de residuos sólidos reciclados,UAESP,Porcentaje,Porción,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al porcentaje de tonedalas anuales reportadas por localidad que fueron pesadas por los recicladores de oficio registrados en el RURO,.,Nu
08-ma-04,v8_ma_04,Generación de residuos sólidos urbanos (Kg diarios por habitante),UAESP,Tasa,Kilogramos por habitante,8. Medio ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Corresponde al total de kg per cápita de residuos sólidos convencionales que se dispusieron en el relleno sanitario Doña Juana, sin incluir aquellos dispuestos por los municipios con los cuales se tiene convenio.",.,Nu
08-ma-012,v8_ma_012,Residuos sólidos dispuestos en rellenos sanitarios (Total toneladas),UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,"Corresponde al total de residuos dispuestos en el relleno Doña Juana: residuos ordinarios (Bogotá, Caqueza, ubaque, Choachi, Gutierrez, Fosca, Chipaque, Une) y residuos hospitalarios tratados.",.,Nu
08-ma-013,v8_ma_013,Material recuperado en el Centro de Acopio Alquería. (Ton/año),UAESP,Número,Toneladas,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,UAESP,Registro administrativo,Corresponde al total de material recuperado en el Centro de Acopio Alquería. (Ton/año),.,Nu
07-v-003,v7_v_003,Tasa de cobertura del servicio de Acueducto,EAAB,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide los hogares con acceso al servicio legal de acueducto sobre el total hogares,.,Nu
07-v-006,v7_v_006,Tasa de cobertura alcantarillado sanitario,EAAB,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide los hogares con acceso al servicio legal de alcantarillado sobre el total hogares,.,Nu
07-v-027,v7_v_027_1,Tasa de cobertura alcantarillado pluvial,EAAB,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide los hogares con acceso al servicio legal de alcantarillado pluvial sobre el  total de hogares,.,Nu
07-v-014,v7_v_014_1,Número de suscriptores residenciales del servicio de acueducto,EAAB,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el número de suscriptores residenciales del servicio de acueducto y alcantarillado,.,Nu
07-v-015,v7_v_015_1,Número de suscriptores residenciales del servicio de alcantarillado,EAAB,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,NA,NA,.,Nu
07-v-016,v7_v_016_1,"Número de suscriptores (industrial, comercial, oficial, y otros) del servicio de acueducto",EAAB,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,"Mide el número de suscriptores (industrial, comercial, oficial, y otros) del servicio de acueducto y alcantarillado",.,Nu
07-v-017,v7_v_017_1,"Número de suscriptores (industrial, comercial, oficial, y otros) del servicio de alcantarillado sanitario",EAAB,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,NA,NA,.,Nu
08-ma-014,v8_ma_014,Indice de riesgo de la calidad del agua para consumo humano IRCA,EAAB,Porcentaje,Porción,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro Administrativo,"Es el grado de riesgo de ocurrencia de enfermedades relacionadas con el no cumplimiento de las características físicas, químicas y microbiológicas del agua para consumo humano. La Empresa de Acueducto, Alcantarillado y Aseo de Bogotá EAB-ESP tiene en cuenta los análisis realizados a las muestra recolectadas durante un mes en los puntos de muestreo concertados con la Secretaría Distrital de Salud, los cuales se consideran oficiales y representativos para realizar el control y la vigilancia de la calidad del agua que se suministra a la población.",.,Nu
07-v-018,v7_v_018_1,Número de suscriptores beneficiados por la tarifa del mínimo vital,EAAB,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,NA,.,Nu
08-ma-015,v8_ma_015,Índice de calidad del agua,EAAB,Número,Indice de 0 a 100,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro Administrativo,Mide la calidad del agua en función de ofrecer todas las condiciones sanitarias para el consumo humano.,.,Nu
08-ma-041,v8_ma_041,Porcentaje de aguas residuales que reciben tratamiento de acuerdo a normas nacionales,EAAB,Porcentaje,Porción,8. Medio ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro Administrativo,Volumen de aguas residuales tanto industriales como domésticas que son tratadas por el Distrito en la Planta de Tratamiento de Aguas Residuales El Salitre.,.,Nu
08-ma-016,v8_ma_016,Consumo promedio de agua metros cúbicos al día ESTRATO 1,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al día ESTRATO 1 (RESIDENCIAL),.,Ca
08-ma-017,v8_ma_017,Consumo promedio de agua metros cúbicos al día ESTRATO 2,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al día ESTRATO 2 (RESIDENCIAL),.,Ca
08-ma-018,v8_ma_018,Consumo promedio de agua metros cúbicos al día ESTRATO 3,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al día ESTRATO 3 (RESIDENCIAL),.,Ca
08-ma-019,v8_ma_019,Consumo promedio de agua metros cúbicos al día ESTRATO 4,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al día ESTRATO 4 (RESIDENCIAL),.,Ca
08-ma-020,v8_ma_020,Consumo promedio de agua metros cúbicos al día ESTRATO 5,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumopromedio de agua metros cúbicos al día ESTRATO 5 (RESIDENCIAL),.,Ca
08-ma-021,v8_ma_021,Consumo promedio de agua metros cúbicos al día ESTRATO 6,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumopromedio de agua metros cúbicos al día ESTRATO 6 (RESIDENCIAL),.,Nu
08-ma-022,v8_ma_022,Consumo promedio de agua anual en metros cúbicos (residencial y no residencial),EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua anual en metros cúbicos (residencial y no residencial),.,Nu
08-ma-02,v8_ma_02,Consumo anual de agua por habitante,EAAB,Número,Metros cúbicos,8. Medio ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,El consumo per cápita se determina mediante la relación del volumen facturado año en Bogotá y la población proyectada por la Secretaría de Planeación Distrital a junio de cada año excluyendo la Localidad de Sumapaz,.,Nu
08-ma-023,v8_ma_023,Consumo promedio de agua metros cúbicos al año residencial,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al año,.,Nu
08-ma-024,v8_ma_024,Consumo promedio de agua metros cúbicos al año no residencial,EAAB,Número,Metros cúbicos,8. Medio Ambiente,Hábitat Urbano,8. Servicios públicos,EAAB,Registro administrativo,Mide el consumo promedio de agua metros cúbicos al año,.,Nu
07-v-019,v7_v_019_1,Tasa de cobertura energía eléctrica,SDHT,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,Secretaría Distrital del Hábitat,Registro administrativo,Mide los hogares con acceso al servicio legal de electricidad sobre el total hogares,.,Nu
07-v-020,v7_v_020_1,Tasa de cobertura gas natural (multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Mide los hogares con acceso al servicio legal de gas natural sobre el total hogares,.,Nu
07-v-021,v7_v_021_1,Tasa de cobertura gas natural,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Mide los hogares con acceso al servicio legal de gas natural sobre el total hogares,.,Nu
07-v-022,v7_v_022_1,Tasa de cobertura de recolección de basuras,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Tasa de suscriptores residentes por localidad,.,Nu
07-v-023,v7_v_023,Porcentaje de hogares con conexión a Internet,DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Espresa el porcentaje de hogares con conexión a internet en la ciudad.,.,Nu
07-v-024,v7_v_024_1,Porcentaje de hogares con conexión a Internet (multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Espresa el porcentaje de hogares con conexión a internet en la ciudad.,.,Nu
07-v-025,v7_v_025_1,Número de suscriptores del servicio de internet dedicado (IV Trim),DANE,Número,Suscriptores,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,MINTIC-SIUST,Registro Administrativo,Es el número de suscriptores del servicio de internet dedicado (IV Trim),.,Nu
07-v-026,v7_v_026_1,Tasa de cobertura telefonía fija (multipropósito),DANE,Porcentaje,Porción,7. Vivienda y Servicios públicos,Hábitat Urbano,8. Servicios públicos,DANE,Encuesta,Mide los hogares con acceso al servicio legal de  telefonía fija sobre el  total hogares,.,Nu
10-ep-003,v0_ep_003,Numero de metros cuadrados de espacio público recuperados,DADEP,Número,Metros cuadrados,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,Sumatoria de metros cuadrados de espacio publico recuperados en el periodo  a través de procesos de restitución voluntaria y recuperación por hechos notorios.,.,Nu
10-ep-004,v0_ep_004,Número de metros cuadrados de espacio público restituidos voluntariamente,DADEP,Número,Metros cuadrados,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,"Entrega voluntaria de espacio público invadido, mediante iniciativa propia y auto-convencimiento",.,Nu
10-ep-005,v0_ep_005,Número de metros cuadrados de espacio público restituidos por hechos notorios,DADEP,Número,Metros cuadrados,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,Metros cuadrados de espacio público recuperados mediante operativos de hechos notorios,.,Nu
10-ep-001,v0_ep_001,"Metros cuadrados de espacio público efectivo por habitante(parques, plazas, plazoletas, zonas verdes)",DADEP,Tasa,Metros cuadrados por habitante,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,"espacio público de carácter permanente conformado por zonas verdes, parques, plazas, plazoletas. Documento Conpes 3718- 2012, está compuesto por parques ecológicos distritales, Parques especiales de protección por riesgo, Parques Urbanos, Zonas de manejo y  preservación ambiental, áreas de control ambiental y de los perfiles viales adecuadas de manera permanente para actividades recreativas peatonales, Alamedas, Plazas y Plazoletas de uso público. (POT-2013)",.,Nu
10-ep-006,v0_ep_006,Espacio público verde por habitante,DADEP,Tasa,Metros cuadrados por habitante,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,"permite medir la cantidad de espacio público verde orientado a satisfacer las necesidades de recreación, permanencia al aire libre y de encuentro, constituido además por las áreas para la conservación y preservación de los sistemas orográfic os e hídricos, los parques y las zonas verdes.",.,Nu
10-ep-007,v0_ep_007,Promedio de espacio público peatonal por habitante,DADEP,Tasa,Metros cuadrados por habitante,10. Espacio público,Hábitat Urbano,9. Espacio público,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,Expresa el espacio público peatonal por habitante,.,Nu
08-ma-025,v8_ma_025,Índice de calidad hídrica en el Río Torca TRAMO 1,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 1: Canal El Cedro, longitud 5.96 km",.,Nu
08-ma-026,v8_ma_026,Índice de calidad hídrica en el Río Torca TRAMO 2,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre). Nota: Tramo 2: Makro 193, longitud 7.10 km",.,Nu
08-ma-027,v8_ma_027,Índice de calidad hídrica en el Río Fucha TRAMO 1,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre). Nota: Tramo 1: El Delirio, longitud 1.98 km",.,Nu
08-ma-028,v8_ma_028,Índice de calidad hídrica en el Río Fucha TRAMO 2,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre). Nota: Tramo 2: Carrera 7 Río Fucha,longitud 7.56 km",.,Nu
08-ma-029,v8_ma_029,Índice de calidad hídrica en el Río Fucha TRAMO 3,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre). Nota: Tramo 3 Fucha Av de las Americas, longitud 2.74 km",.,Nu
08-ma-030,v8_ma_030,Índice de calidad hídrica en el Río Fucha TRAMO 4,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre). Nota: Tramo 4 Visión Colombia Zona Franca Fucha Alameda, longitud 5.03 km",.,Nu
08-ma-031,v8_ma_031,Índice de calidad hídrica en el Río Tunjuelo TRAMO 1,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 1: Regadera, longitud 1.46 km",.,Nu
08-ma-032,v8_ma_032,Índice de calidad hídrica en el Río Tunjuelo TRAMO 2,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 2: Yomasa Doña Juana, longitud 4.10 km",.,Nu
08-ma-033,v8_ma_033,Índice de calidad hídrica en el Río Tunjuelo TRAMO 3,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 3: Doña Juana Barrio Mexico San Benito Makro Autopista Sur, longitud 14.16 km",.,Nu
08-ma-034,v8_ma_034,Índice de calidad hídrica en el Río Tunjuelo TRAMO 4,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 4. Makro Autopista Sur Transversal 86 Puente la Independencia, longitud 14.39 km",.,Nu
08-ma-035,v8_ma_035,Índice de calidad hídrica en el Río Salitre TRAMO 1,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 1: Parque Nacional, longitud 1.31 km",.,Nu
08-ma-036,v8_ma_036,Índice de calidad hídrica en el Río Salitre TRAMO 2,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 2: Arzobispo Carrera 7 Carrera 30 Calle 53, longitud 2.31 km",.,Nu
08-ma-037,v8_ma_037,Índice de calidad hídrica en el Río Salitre TRAMO 3,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 3: Carrera 30 Calle 53 Carrefour Av 68, longitud 2.70 km",.,Nu
08-ma-038,v8_ma_038,Índice de calidad hídrica en el Río Salitre TRAMO 4,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,"El índice permite evaluar la calidad hídrica de las corrientes de agua que atraviesan la ciudad por categorías en una escala de 0 a 100, agrupadas así: entre 95 y 100 (excelente), 80 y 94 (buena), 65 y 79 (aceptable), 45 y 64 (marginal), 0 y 44 (pobre) Nota: Tramo 4 Carrefour Av 68 Transversal 91 Planta Salitre Salitre Alameda, longitud 13.45 km",.,Nu
08-ma-039,v8_ma_039,Nivel de contaminación hídrica SST transportados al Río Bogotá medidos en toneladas,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,Corresponde a la cantidad de material (sólidos) que es retenido después de realizar la filtración de un volumen de agua en el río Bogotá.,.,Nu
08-ma-040,v8_ma_040,Nivel de contaminación hídrica  DBO5 transportados el Río de Bogotá medidos en toneladas,Secretaría de Ambiente,Número,índice de 0 a 100,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,Mide la carga contaminante de materia orgánica DBO5  (Cantidad de oxigeno necesaria para descomponer biológicamente la materia orgánica carbonácea) en el agua.,.,Nu
08-ma-03,v8_ma_03,Porcentaje de aguas residuales que reciben tratamiento de acuerdo a normas nacionales,EAAB,Porcentaje,Porción,8. Medio ambiente,Hábitat Urbano,10. Ambiente,EAAB,Registro Administrativo,"Nota: En la Planta de Tratamiento de Aguas Residuales El Salitre (PTAR El Salitre) se trata en promedio un caudal aproximado de 4.0 m3/s, por lo tanto, el agua tratada corresponde a cerca del 24% de un total de 16.7m3/s de caudal promedio de aguas residuales generados por la ciudad en tiempo seco.",.,Nu
10-ep-008,v0_ep_008,Área verde por habitante,DADEP,Tasa,Metros cuadrados por habitante,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Departamento Administrativo de la Defensoría del Espacio Público DADEP,Registro Administrativo,Mide el área verde en metros cuadrados por habitante,.,Nu
08-ma-042,v8_ma_042,Número de Árboles por cada 100.000 Habitantes,Jardín Botánico de Bogotá José Celestino Mutis,Tasa,Por cada 1.000 Habitantes,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Jardín Botánico de Bogotá José Celestino Mutis,Registro Administrativo,Mide el árboles existentes en espacio público de uso público + árboles plantados - árboles talados *100 habitantes,.,Ca
08-ma-043,v8_ma_043,"Número de Km. de ríos urbanos con índice de calidad hídrica en nivel de aceptable o superior  (ríos Torca, Salitre, Fucha y Tunjuelo)",Secretaría de Ambiente,Número,Kilómetros,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,Mide los kilomentros de ríos urbanos con índice de calidad hídrica en nivel de aceptable o superior,.,Nu
08-ma-05,v8_ma_05,Concentración de partículas PM 10,Secretaría de Ambiente,Número,Partículas promedio por año,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,Mide el nivel de material particulado de 10 micras presente en un área especifica de la ciudad en un momento determinado.,.,Nu
08-ma-044,v8_ma_044,Nivel de concentración media anual de partículas de polvo en 2.5 (PM2.5),Secretaría de Ambiente,Número,Partículas promedio por año,8. Medio ambiente,Hábitat Urbano,10. Ambiente,Secretaría de Ambiente,Registro Administrativo,Mide el nivel de material particulado de 2.5 micras presente en un área especifica de la ciudad en un momento determinado.,.,Nu
